Time,Wave Probe C,Wave Probe G,Wave Probe L
249.6875,-47.86995101,-11.59750682,-38.98674468
249.75,-43.27795101,-24.23550682,-27.41534468
249.8125,-38.39795101,-36.59500682,-19.94784468
249.875,-30.97395101,-48.73800682,-17.11534468
249.9375,-18.44595101,-53.68800682,-15.81174468
250,-6.909951007,-59.36500682,-13.75174468
250.0625,1.026048993,-72.00300682,-9.64784468
250.125,6.898048993,-85.10500682,-7.82924468
250.1875,14.32204899,-84.85750682,-7.05674468
250.25,19.97004899,-66.79000682,-8.85924468
250.3125,22.51404899,-40.07550682,-8.85924468
250.375,20.48204899,-14.33550682,-5.51175468
250.4375,16.11404899,8.681993181,-1.40784468
250.5,10.75404899,32.93699318,3.99965532
250.5625,3.074048993,63.13199318,4.77215532
250.625,-5.885951007,86.64449318,10.45324532
250.6875,-14.58995101,91.36249318,15.86075532
250.75,-19.72595101,83.93749318,18.17825532
250.8125,-23.54995101,76.01749318,17.14825532
250.875,-23.80595101,68.83999318,9.93824532
250.9375,-23.80595101,54.46949318,5.54465532
251,-17.67795101,29.71949318,0.41074532
251.0625,-6.909951007,21.07249318,-4.75534468
251.125,3.074048993,21.56749318,-7.31424468
251.1875,9.730048993,7.939493181,-10.42034468
251.25,16.89804899,-11.59750682,-9.11674468
251.3125,27.65004899,-28.42750682,-7.82924468
251.375,36.86604899,-31.90800682,-3.98284468
251.4375,47.60204899,-25.95250682,-3.72534468
251.5,55.02604899,-25.47300682,-5.01284468
251.5625,58.88204899,-31.66050682,-4.24034468
251.625,59.39404899,-40.07550682,-2.18034468
251.6875,53.74604899,-33.14550682,3.99965532
251.75,43.52204899,-15.07800682,12.23965532
251.8125,25.85804899,-8.395506819,18.69325532
251.875,8.962048993,-13.33000682,19.20825532
251.9375,-7.949951007,-4.420036819,16.11825532
252,-30.22195101,30.95699318,17.66325532
252.0625,-64.01395101,70.55699318,19.44965532
252.125,-85.00595101,91.36249318,14.55715532
252.1875,-90.38195101,109.6624932,-2.95284468
252.25,-86.52595101,129.7244932,-18.91784468
252.3125,-71.93395101,153.2374932,-29.21784468
252.375,-58.89395101,158.4194932,-35.14034468
252.4375,-46.09395101,133.1744932,-37.97284468
252.5,-28.17395101,84.67999318,-41.04674468
252.5625,-1.037951007,41.61499318,-40.53174468
252.625,27.65004899,14.62199318,-37.71534468
252.6875,57.58604899,3.994963181,-31.26174468
252.75,86.27404899,-17.05800682,-21.99174468
252.8125,107.778049,-48.24300682,-11.45034468
252.875,118.530049,-67.53250682,5.02965532
252.9375,115.714049,-72.49800682,26.67575532
253,109.058049,-73.96750682,57.31825532
253.0625,96.75404899,-88.09050682,90.79325532
253.125,84.99404899,-99.21250682,115.5136553
253.1875,66.81804899,-96.01050682,137.8996553
253.25,47.09004899,-83.12500682,149.2296553
253.3125,27.13804899,-62.35050682,150.7906553
253.375,10.24204899,-44.76250682,138.9456553
253.4375,-2.829951007,-21.00250682,121.4196553
253.5,-15.88595101,14.86949318,91.30825532
253.5625,-18.18995101,53.47949318,57.83325532
253.625,-25.10195101,71.29949318,35.92965532
253.6875,-23.54995101,74.03749318,17.14825532
253.75,-21.24595101,88.62449318,-1.92284468
253.8125,-22.01395101,112.1374932,-23.53674468
253.875,-31.48595101,126.2444932,-43.63784468
253.9375,-34.82995101,115.6174932,-52.13534468
254,-27.14995101,112.1374932,-48.25674468
254.0625,-13.30995101,137.1494932,-37.20034468
254.125,-1.037951007,158.1724932,-32.80674468
254.1875,9.218048993,134.1644932,-34.09424468
254.25,35.84204899,104.7124932,-32.80674468
254.3125,60.41804899,112.6324932,-18.91784468
254.375,80.37004899,148.5194932,4.77215532
254.4375,94.96204899,150.9944932,23.31215532
254.5,108.034049,119.5624932,42.38325532
254.5625,121.330049,101.4944932,63.73965532
254.625,126.722049,104.4644932,94.12465532
254.6875,122.098049,108.9194932,126.5696553
254.75,102.898049,91.36249318,141.5206553
254.8125,86.77004899,35.92249318,134.5686553
254.875,77.82604899,-20.75500682,114.7406553
254.9375,73.71404899,-42.04000682,101.6082553
255,67.33004899,-52.68250682,87.17215532
255.0625,50.94604899,-84.61000682,72.23715532
255.125,27.65004899,-135.3635068,56.54575532
255.1875,11.26604899,-173.2305068,32.34075532
255.25,7.410048993,-197.7335068,5.80215532
255.3125,-15.35795101,-213.0785068,-20.97784468
255.375,-51.72595101,-224.4475068,-37.71534468
255.4375,-75.53395101,-234.6105068,-45.44034468
255.5,-84.23795101,-239.0655068,-51.87784468
255.5625,-95.99795101,-235.6005068,-57.26924468
255.625,-118.781951,-224.6955068,-68.10034468
255.6875,-142.349951,-219.0025068,-75.56784468
255.75,-154.877951,-218.0125068,-80.70174468
255.8125,-157.709951,-214.5635068,-84.06534468
255.875,-161.021951,-202.6675068,-100.2883447
255.9375,-166.157951,-184.6005068,-122.6743447
256,-170.749951,-168.0335068,-142.0033447
256.0625,-174.605951,-158.8755068,-158.4833447
256.125,-179.453951,-148.9755068,-169.5553447
256.1875,-184.829951,-124.9685068,-178.0533447
256.25,-198.669951,-89.31250682,-190.6543447
256.3125,-208.397951,-56.16300682,-204.0443447
256.375,-208.397951,-42.55050682,-212.3003447
256.4375,-201.213951,-26.20000682,-213.5713447
256.5,-191.245951,13.64749318,-208.1803447
256.5625,-183.565951,72.04199318,-197.6063447
256.625,-169.213951,119.0674932,-186.5503447
256.6875,-144.909951,143.3224932,-173.6593447
256.75,-108.557951,177.4924932,-157.6943447
256.8125,-60.17395101,218.3294932,-141.7453447
256.875,-25.61395101,257.6824932,-122.1593447
256.9375,6.130048993,285.1394932,-95.91034468
257,54.51404899,295.5494932,-58.04174468
257.0625,115.698049,297.0344932,-17.35674468
257.125,170.994049,282.4324932,27.44825532
257.1875,198.402049,245.0444932,70.94965532
257.25,201.458049,206.9294932,121.1626553
257.3125,199.154049,169.3244932,180.1296553
257.375,197.890049,127.9774932,219.7846553
257.4375,195.058049,83.93749318,246.5646553
257.5,196.850049,47.04449318,258.6676553
257.5625,205.042049,14.12699318,257.6536553
257.625,211.186049,-18.03250682,248.8986553
257.6875,216.562049,-46.51050682,233.9476553
257.75,212.978049,-63.58800682,220.8146553
257.8125,187.378049,-71.50800682,210.7726553
257.875,155.122049,-81.16050682,211.8026553
257.9375,115.970049,-93.53550682,212.0596553
258,67.84204899,-104.6735068,202.5326553
258.0625,32.24204899,-105.1525068,181.9486553
258.125,4.594048993,-96.75300682,144.3376553
258.1875,-7.165951007,-87.84300682,99.54825532
258.25,-18.70195101,-82.38250682,56.27215532
258.3125,-35.08595101,-83.12500682,13.26965532
258.375,-60.68595101,-82.38250682,-22.50674468
258.4375,-85.00595101,-85.86300682,-52.90784468
258.5,-103.421951,-92.53000682,-76.34034468
258.5625,-115.213951,-100.6975068,-96.92434468
258.625,-122.365951,-102.9405068,-120.1153447
258.6875,-128.253951,-97.97500682,-144.8353447
258.75,-134.909951,-94.52550682,-166.2083447
258.8125,-138.749951,-102.1985068,-186.0353447
258.875,-143.101951,-117.2955068,-199.9403447
258.9375,-148.749951,-127.9385068,-202.7733447
259,-148.237951,-129.9025068,-202.2583447
259.0625,-148.749951,-127.4435068,-190.6543447
259.125,-146.173951,-124.9685068,-176.2503447
259.1875,-134.669951,-126.4535068,-162.3293447
259.25,-120.829951,-121.7355068,-149.1963447
259.3125,-120.573951,-114.5575068,-139.1543447
259.375,-130.045951,-99.70750682,-125.7803447
259.4375,-130.573951,-92.28250682,-112.8893447
259.5,-124.429951,-95.51550682,-97.97034468
259.5625,-112.141951,-90.79750682,-86.38284468
259.625,-103.165951,-79.92300682,-78.40034468
259.6875,-101.645951,-72.74550682,-72.20424468
259.75,-99.85395101,-71.50800682,-66.53924468
259.8125,-93.94995101,-64.33050682,-58.55674468
259.875,-90.63795101,-52.18750682,-52.90784468
259.9375,-81.42195101,-30.91800682,-52.90784468
260,-70.14195101,-7.653006819,-53.16534468
260.0625,-59.14995101,7.196993181,-54.95174468
260.125,-42.50995101,26.26999318,-54.45284468
260.1875,-27.40595101,57.19199318,-54.45284468
260.25,-16.39795101,91.85749318,-51.62034468
260.3125,4.594048993,92.10499318,-49.28674468
260.375,21.49004899,82.45249318,-41.30424468
260.4375,47.09004899,89.62999318,-33.57924468
260.5,59.39404899,106.7074932,-19.43284468
260.5625,64.49804899,107.4494932,5.54465532
260.625,62.70604899,99.77749318,30.52215532
260.6875,54.51404899,127.9774932,51.65325532
260.75,48.37004899,190.5944932,67.85965532
260.8125,52.48204899,244.7974932,81.76465532
260.875,65.26604899,274.7594932,91.56575532
260.9375,85.25004899,278.9524932,90.27825532
261,110.850049,271.5424932,90.79325532
261.0625,129.778049,259.3994932,95.41215532
261.125,142.338049,236.3824932,105.4546553
261.1875,151.042049,195.3124932,119.8746553
261.25,165.634049,138.6344932,137.8996553
261.3125,182.018049,87.88199318,162.8776553
261.375,188.930049,40.85699318,189.6736553
261.4375,191.490049,0.514493181,209.2276553
261.5,190.722049,-52.43500682,216.9686553
261.5625,192.002049,-106.6375068,215.1496553
261.625,190.210049,-143.5305068,223.6636553
261.6875,178.162049,-161.5825068,236.7796553
261.75,148.466049,-172.2405068,234.9776553
261.8125,122.866049,-187.0755068,189.9306553
261.875,113.650049,-203.9205068,129.6596553
261.9375,85.25004899,-213.0785068,84.09825532
262,33.77804899,-206.8905068,59.63575532
262.0625,-9.997951007,-195.2425068,36.95965532
262.125,-37.62995101,-188.0655068,-17.35674468
262.1875,-67.08595101,-175.7055068,-73.49174468
262.25,-107.021951,-159.3705068,-105.6793447
262.3125,-147.469951,-142.7885068,-118.8283447
262.375,-179.725951,-124.2105068,-129.3693447
262.4375,-208.397951,-105.1525068,-146.1063447
262.5,-231.437951,-92.05050682,-164.1313447
262.5625,-251.389951,-76.44250682,-180.3703447
262.625,-263.181951,-46.01550682,-188.3363447
262.6875,-263.693951,1.256993181,-191.9583447
262.75,-255.245951,40.11449318,-188.0793447
262.8125,-235.773951,58.44499318,-183.2033447
262.875,-205.837951,71.29949318,-185.7783447
262.9375,-174.349951,84.43249318,-184.4903447
263,-147.725951,104.4644932,-178.3103447
263.0625,-117.005951,103.7224932,-167.4953447
263.125,-87.54995101,75.02749318,-157.9683447
263.1875,-54.52595101,59.43499318,-144.3203447
263.25,-19.21395101,74.53249318,-122.6743447
263.3125,28.93004899,83.68999318,-105.6793447
263.375,88.81804899,61.64699318,-90.48674468
263.4375,124.674049,49.27199318,-69.38784468
263.5,140.802049,65.62249318,-28.44534468
263.5625,134.402049,87.38699318,25.90325532
263.625,132.866049,79.21949318,72.23715532
263.6875,133.890049,63.87449318,119.1026553
263.75,137.970049,72.78449318,157.4856553
263.8125,138.226049,92.59999318,176.7826553
263.875,129.778049,91.11499318,168.2846553
263.9375,115.970049,79.71449318,153.8646553
264,98.03404899,86.64449318,134.0536553
264.0625,81.90604899,114.1324932,118.0886553
264.125,62.70604899,122.2994932,109.0756553
264.1875,39.41004899,99.52999318,106.5006553
264.25,13.55404899,88.62449318,108.5606553
264.3125,2.306048993,96.04949318,102.3646553
264.375,5.106048993,94.06949318,87.68715532
264.4375,12.03404899,49.27199318,74.05575532
264.5,20.73804899,5.232463181,58.60575532
264.5625,33.26604899,-14.33550682,39.79215532
264.625,50.43404899,-20.01250682,16.63325532
264.6875,55.28204899,-44.51500682,-1.92284468
264.75,49.13804899,-80.41800682,-14.26674468
264.8125,39.41004899,-102.1985068,-23.02174468
264.875,34.30604899,-108.3855068,-29.73284468
264.9375,25.85804899,-110.6135068,-29.47534468
265,13.04204899,-126.4535068,-14.52424468
265.0625,1.794048993,-142.5405068,1.69824532
265.125,-6.141951007,-150.4605068,14.04215532
265.1875,-12.79795101,-146.7325068,18.43575532
265.25,-26.63795101,-137.0805068,16.63325532
265.3125,-36.86195101,-132.6255068,19.70715532
265.375,-44.55795101,-126.9485068,26.16075532
265.4375,-47.62995101,-110.1185068,28.71965532
265.5,-52.98995101,-75.45250682,20.47965532
265.5625,-66.31795101,-32.89800682,11.20965532
265.625,-77.32595101,-14.58300682,0.66824532
265.6875,-79.86995101,-18.52750682,-14.00924468
265.75,-77.82195101,-12.83500682,-29.47534468
265.8125,-73.48595101,27.01249318,-54.95174468
265.875,-69.62995101,55.45949318,-80.70174468
265.9375,-69.88595101,49.27199318,-107.2243447
266,-67.08595101,50.01449318,-122.4163447
266.0625,-62.71795101,80.70449318,-121.6443447
266.125,-60.94195101,126.9874932,-110.5883447
266.1875,-56.31795101,134.9074932,-89.19924468
266.25,-42.25395101,127.7294932,-66.55534468
266.3125,-19.46995101,144.8224932,-37.45784468
266.375,3.842048993,185.4124932,-12.48034468
266.4375,26.62604899,206.6824932,3.74215532
